,PlaybackIndex,is_distal_droplet,is_total,is_progressive,is_slow,is_medium,is_proximal_droplet,is_hyperactive_mouse,is_motile,is_static,is_bent_tail,is_rapid,is_earlytrack,fid,VAP,VSL,ALH,LIN,BCF,VCL,WOB,STR,MAD,cluster_id,P_cluster_0,P_cluster_1,P_cluster_2,P_cluster_3,P_cluster_4,subtype_label,P_rapid_progressive,P_immotile,P_nonprogressive,P_progressive,P_erratic,tsne_1,tsne_2,P_axis_byls,E_axis_byls,progressivity_res,erraticity_res,entropy
0,1,0,1,1,0,0,0,0,1,0,0,1,1,0,141.23,133.53,11.09,53.44,31.75,249.88,56.52,94.55,94.51144329952032,3,0.0017026409288157253,0.0,1.316510810900183e-13,0.9982973590710534,1.1804987782799368e-48,progressive,0.0017026409288157253,0.0,1.316510810900183e-13,0.9982973590710534,1.1804987782799368e-48,32.17793,-14.067915,1.0,0.11494994710137357,0.9999999999998692,0.0,2.759327341368833e-12
1,2,0,1,1,0,0,0,0,1,0,0,1,1,1,121.18,116.14,7.99,58.44,19.95,198.76,60.97,95.85,84.76561792582727,3,7.444096907116718e-08,0.0,1.1376992379324146e-10,0.9999999254452617,3.7643448962354197e-57,progressive,7.444096907116718e-08,0.0,1.1376992379324146e-10,0.9999999254452617,3.7643448962354197e-57,18.927402,-26.295916,1.0,0.058797317508868775,0.9999999998862308,0.0,2.7167465332409575e-09
2,3,0,1,1,0,0,0,0,1,0,0,1,1,2,131.12,126.74,5.7,68.21,46.9,185.81,70.57,96.66,88.3295866996834,3,4.977348138068747e-19,0.0,4.245302748776435e-15,0.9999999999999964,1.7097802827871815e-99,progressive,4.977348138068747e-19,0.0,4.245302748776435e-15,0.9999999999999964,1.7097802827871815e-99,15.28734,-36.47869,1.0,0.10839173868835071,0.9999999999999964,0.0,-8.785859876409839e-13
3,4,0,1,1,0,0,0,0,1,0,0,1,1,3,110.88,92.81,9.04,48.59,32.77,191.01,58.05,83.7,83.63891068129162,3,0.0032989722225150457,0.0,6.946206791853844e-06,0.9966940815706928,8.206658686160854e-36,progressive,0.0032989722225150457,0.0,6.946206791853844e-06,0.9966940815706928,8.206658686160854e-36,11.640632,-13.266708,0.9096405331442026,0.215268037934178,0.9999930537932079,0.0,8.972150106836615e-05
4,5,0,1,1,0,0,0,1,1,0,0,1,0,4,127.13,102.94,12.09,37.44,31.98,274.94,46.24,80.97,93.46267507642857,0,0.9999999362088288,0.0,6.377220622582887e-08,1.896566703377721e-11,7.50192607640503e-21,rapid_progressive,0.9999999362088288,0.0,6.377220622582887e-08,1.896566703377721e-11,7.50192607640503e-21,30.704855,4.614251,0.9383672572953554,0.25381367699707647,0.9999999362277945,2.6250190053067267e-22,0.0027116305970066638
5,6,0,1,1,0,0,0,0,1,0,0,1,0,5,121.12,116.42,6.04,61.22,40.94,190.15,63.7,96.12,82.20789957651286,3,3.1029156187175807e-13,0.0,7.674217709884788e-13,0.9999999999989235,2.12937720668465e-70,progressive,3.1029156187175807e-13,0.0,7.674217709884788e-13,0.9999999999989235,2.12937720668465e-70,17.56634,-27.302427,1.0,0.10482121799050081,0.9999999999992338,0.0,2.053488094008072e-11
6,7,0,1,1,0,0,0,0,1,0,0,1,0,6,145.93,136.73,8.19,64.72,31.49,211.25,69.08,93.69,65.7695467329694,3,5.897866811946542e-11,0.0,9.573055194800658e-18,0.9999999999410214,4.0942373300969754e-80,progressive,5.897866811946542e-11,0.0,9.573055194800658e-18,0.9999999999410214,4.0942373300969754e-80,17.55897,-34.819973,1.0,0.07834510831999542,1.0,0.0,-9.998243873832369e-13
7,8,0,1,0,0,1,0,0,1,0,0,0,0,7,13.28,12.25,0.85,65.55,27.86,18.68,71.11,92.19,74.73280443390101,2,3.891440952320969e-72,0.0,0.6967641291442079,0.3032358708557921,0.0,non_progressive,3.891440952320969e-72,0.0,0.6967641291442079,0.3032358708557921,0.0,-21.014832,-18.907629,0.8485358571818367,0.2770045010868425,0.3032358708557921,0.0,0.6135811687435397
8,9,0,1,0,0,0,0,0,1,0,0,1,1,8,55.64,30.7,10.32,14.23,44.09,215.71,25.79,55.18,71.58369154452032,4,1.6999166500508154e-08,0.0,3.741720504371427e-12,0.0,0.9999999829970926,erratic,1.6999166500508154e-08,0.0,3.741720504371427e-12,0.0,0.9999999829970926,0.6533807,30.911238,0.6334436076339998,0.4884037867178314,1.6999166500508154e-08,0.19767370204702375,1.003056416707324e-10
9,10,0,1,1,0,0,0,0,1,0,0,1,0,9,88.23,86.18,4.49,70.44,38.84,122.35,72.12,97.68,74.06871713795692,3,7.500543612052927e-44,0.0,6.616519433147957e-09,0.9999999933834793,4.432904515052163e-188,progressive,7.500543612052927e-44,0.0,6.616519433147957e-09,0.9999999933834793,4.432904515052163e-188,-3.5663006,-34.38743,1.0,0.18473748449226088,0.9999999933834793,0.0,1.3122803755362906e-07
