,PlaybackIndex,is_progressive,is_medium,is_total,is_slow,is_static,is_proximal_droplet,is_distal_droplet,is_earlytrack,is_hyperactive_mouse,is_rapid,is_motile,is_bent_tail,fid,experiment_media,VAP,VSL,ALH,LIN,BCF,VCL,WOB,STR,MAD,cluster_id,P_cluster_0,P_cluster_1,P_cluster_2,P_cluster_3,P_cluster_4,subtype_label,P_rapid_progressive,P_immotile,P_nonprogressive,P_progressive,P_erratic,tsne_1,tsne_2,P_0,P_1,P_2,P_3,P_4,drug_cluster,P_axis_byls,E_axis_byls,progressivity_res,erraticity_res,entropy,umap_1,umap_2
0,1,1,0,1,0,0,0,0,1,0,1,1,0,0,5,141.23,133.53,11.09,53.44,31.75,249.88,56.52,94.55,94.51144329952032,3,0.0017026409288157253,0.0,1.316510810900183e-13,0.9982973590710534,1.1804987782799368e-48,progressive,0.0017026409288157253,0.0,1.316510810900183e-13,0.9982973590710534,1.1804987782799368e-48,32.17793,-14.067915,0.0007859679843542036,0.0,7.657539080722637e-17,5.084403309388093e-14,4.247016758594384e-20,6,1.0,0.11494994710137357,0.9999999999998692,0.0,2.759327341368833e-12,12.274222,7.5743413
1,2,1,0,1,0,0,0,0,1,0,1,1,0,1,5,121.18,116.14,7.99,58.44,19.95,198.76,60.97,95.85,84.76561792582727,3,7.444096907116718e-08,0.0,1.1376992379324146e-10,0.9999999254452617,3.7643448962354197e-57,progressive,7.444096907116718e-08,0.0,1.1376992379324146e-10,0.9999999254452617,3.7643448962354197e-57,18.927402,-26.295916,3.248642767714228e-10,0.0,0.00013171327124636995,7.748950458504748e-08,1.749913799510936e-52,6,1.0,0.058797317508868775,0.9999999998862308,0.0,2.7167465332409575e-09,13.324355,6.0811653
2,3,1,0,1,0,0,0,0,1,0,1,1,0,2,5,131.12,126.74,5.7,68.21,46.9,185.81,70.57,96.66,88.3295866996834,3,4.977348138068747e-19,0.0,4.245302748776435e-15,0.9999999999999964,1.7097802827871815e-99,progressive,4.977348138068747e-19,0.0,4.245302748776435e-15,0.9999999999999964,1.7097802827871815e-99,15.28734,-36.47869,2.0248677250039397e-30,0.0,0.5728743337913125,2.304317650815333e-14,1.0546264603944373e-102,2,1.0,0.10839173868835071,0.9999999999999964,0.0,-8.785859876409839e-13,14.422965,5.8144584
3,4,1,0,1,0,0,0,0,1,0,1,1,0,3,5,110.88,92.81,9.04,48.59,32.77,191.01,58.05,83.7,83.63891068129162,3,0.0032989722225150457,0.0,6.946206791853844e-06,0.9966940815706928,8.206658686160854e-36,progressive,0.0032989722225150457,0.0,6.946206791853844e-06,0.9966940815706928,8.206658686160854e-36,11.640632,-13.266708,6.339750234197972e-05,0.0,1.3550338369092407e-13,0.0037702826170021367,3.964193757118114e-34,6,0.9096405331442026,0.215268037934178,0.9999930537932079,0.0,8.972150106836615e-05,11.640556,5.1377993
4,5,1,0,1,0,0,0,0,0,1,1,1,0,4,5,127.13,102.94,12.09,37.44,31.98,274.94,46.24,80.97,93.46267507642857,0,0.9999999362088288,0.0,6.377220622582887e-08,1.896566703377721e-11,7.50192607640503e-21,rapid_progressive,0.9999999362088288,0.0,6.377220622582887e-08,1.896566703377721e-11,7.50192607640503e-21,30.704855,4.614251,0.9975071561209821,0.0,4.028117345078036e-65,0.0021424436614459123,0.00035040021757131026,0,0.9383672572953554,0.25381367699707647,0.9999999362277945,2.6250190053067267e-22,0.0027116305970066638,9.989063,7.891082
5,6,1,0,1,0,0,0,0,0,0,1,1,0,5,5,121.12,116.42,6.04,61.22,40.94,190.15,63.7,96.12,82.20789957651286,3,3.1029156187175807e-13,0.0,7.674217709884788e-13,0.9999999999989235,2.12937720668465e-70,progressive,3.1029156187175807e-13,0.0,7.674217709884788e-13,0.9999999999989235,2.12937720668465e-70,17.56634,-27.302427,2.551127776924672e-18,0.0,0.002867829295250366,3.130126030566395e-11,1.2901042803259862e-69,6,1.0,0.10482121799050081,0.9999999999992338,0.0,2.053488094008072e-11,13.517625,5.82161
6,7,1,0,1,0,0,0,0,0,0,1,1,0,6,5,145.93,136.73,8.19,64.72,31.49,211.25,69.08,93.69,65.7695467329694,3,5.897866811946542e-11,0.0,9.573055194800658e-18,0.9999999999410214,4.0942373300969754e-80,progressive,5.897866811946542e-11,0.0,9.573055194800658e-18,0.9999999999410214,4.0942373300969754e-80,17.55897,-34.819973,5.2284362585870267e-14,0.0,0.013423942669011911,1.2007061797463462e-14,1.5475585754119873e-65,6,1.0,0.07834510831999542,1.0,0.0,-9.998243873832369e-13,14.07806,6.566176
7,8,0,1,1,0,0,0,0,0,0,0,1,0,7,5,13.28,12.25,0.85,65.55,27.86,18.68,71.11,92.19,74.73280443390101,2,3.891440952320969e-72,0.0,0.6967641291442079,0.3032358708557921,0.0,non_progressive,3.891440952320969e-72,0.0,0.6967641291442079,0.3032358708557921,0.0,-21.014832,-18.907629,6.857845788252195e-155,0.0,0.9999999377838035,6.676827828772116e-108,0.0,2,0.8485358571818367,0.2770045010868425,0.3032358708557921,0.0,0.6135811687435397,13.18544,1.1453332
8,9,0,0,1,0,0,0,0,1,0,1,1,0,8,5,55.64,30.7,10.32,14.23,44.09,215.71,25.79,55.18,71.58369154452032,4,1.6999166500508154e-08,0.0,3.741720504371427e-12,0.0,0.9999999829970926,erratic,1.6999166500508154e-08,0.0,3.741720504371427e-12,0.0,0.9999999829970926,0.6533807,30.911238,5.65391832016697e-17,0.0,1.58123e-317,0.00011013700449111646,0.0015732119941135093,7,0.6334436076339998,0.4884037867178314,1.6999166500508154e-08,0.19767370204702375,1.003056416707324e-10,5.8425384,5.1345563
9,10,1,0,1,0,0,0,0,0,0,1,1,0,9,5,88.23,86.18,4.49,70.44,38.84,122.35,72.12,97.68,74.06871713795692,3,7.500543612052927e-44,0.0,6.616519433147957e-09,0.9999999933834793,4.432904515052163e-188,progressive,7.500543612052927e-44,0.0,6.616519433147957e-09,0.9999999933834793,4.432904515052163e-188,-3.5663006,-34.38743,3.7609333888671414e-87,0.0,0.9999999996380211,1.3624177213312683e-31,1.4721985783667332e-225,2,1.0,0.18473748449226088,0.9999999933834793,0.0,1.3122803755362906e-07,14.678526,3.1573467
